identificador,nombre,capa,confianza,notas
UCoaqXoOZd02OlaR_Ge_1lSQ,DK Classics,dominio_publico,75,"Familia de canales DK. Cine clasico completo."
UCOLQ7ClYXS7NeX7lrrWvQXQ,DK Classics II,dominio_publico,75,"Familia de canales DK. Cine clasico completo."
UCVOD-Y0Gn6660Wlc5TWJUMQ,persona cinecafé,particular,75,"Cine argentino clásico y contemporáneo completo. Canal desmonetizado sin fines de lucro. Cafetería en Recoleta. Activo 2025-2026."
UCS6oAGSt0ulDUqEbfSwXdyg,CRFA | Época de Oro,particular,85,"Cineteca sistemática del cine argentino 1930-1959. 719 largometrajes, todos bien nombrados con fecha y director. Cero bloqueados en AR."
UCg8GKqVbKgfXvsT0PbHBsbg,Lo que el cine nos dejó,particular,80,"Cine argentino clásico 1930-1960. 309 largometrajes. Complementa a CRFA con títulos distintos. Activo 2025-2026."
UCv9PNB28AgrL6hZH7xQVygg,Retro Movies & Cheap Wine,particular,65,"Cine argentino clásico con buenas copias restauradas. Catálogo pequeño (28 largos) pero de calidad."
UC12MqyJdwy1e8Du8d4FpAcw,RetroFuente,particular,60,"Mezcla de cine argentino clásico, contemporáneo y western. Algunos títulos del período 1930-1979 no cubiertos por otros canales."
UC7kn5mH1To24z3boWaTQJhg,Archivo Amorina,particular,60,"Cinebar de Palermo. Cine argentino clásico y contemporáneo mezclado con charlas y programas propios."
UCO7swxrJsImdC1k5WsXxANA,Artflix - Películas Clásicas,particular,50,Agregado desde panel
UC9uvXlBf-Nun2p6ffsMiXYw,Online Historia del Cine,particular,50,Agregado desde panel
UCNT5YLfnn2cQGIxGw8iOxJQ,Film&Clips,particular,80,Canal con largometrajes clásicos completos. Múltiples sub-canales por idioma y formato.
UCyl0XF0r_6NWAvhRsra3TGg,Film&Clips Black&White,particular,80,Sub-canal de Film&Clips especializado en blanco y negro.
UCbRPdPJpFz4f4pHeIhEck2w,Film&Clips in English,particular,80,Sub-canal de Film&Clips en inglés.

UC85AjspVtr6SYBUuezayOTA,NipponKino,particular,80,Cine japonés clásico con subtítulos en inglés
UCyTHUN4dqIHI7qZ8xvu7Mgw,Ruvindu Gamage,particular,60,Mezcla de cine europeo y japonés clásico
UCd3E4PeN2czdJf4OlYDmMEA,MeduFiles,particular,70,Películas europeas de autor
UCfObAI9XtmZN2hgCCjfbpIw,Grandpa's Old Movies Chest,particular,70,Dominio público americano
UCJgE3ORMEzlTdjMNJfZtmEg,Davide Fiammenghi,particular,70,Bergman y europeos con subtítulos en inglés
UC9L0x4SlDEe9PJyUAHm3MYw,prisoner,particular,70,Películas de autor europeas
UCB0vi3NqDCXWr5NNxdo-l6w,MrCinefilia,particular,60,Cine clásico variado
UCUq0ocqIdfFhs-wpJjA7-mg,Ódor Endre,particular,60,Cine clásico europeo
UCtiU4zyXeqtUb92PA3tQbKw,Cinema__Routine,particular,60,Cine de autor variado
UCxRlzqC8qeO-Wd9Rdm12bgg,Khris McLorean,particular,60,Cine europeo clásico
